psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2338,1,676418,24.7215248,-82.7739113,DT09,2,0,27.1,4,CONT_MR,D3,RU,23
2341,1,676412,24.7214897,-82.7768762,DT09,2,0,25.4,4,ISOL_LR,D3,RU,23
2356,1,651546,24.7048363,-82.7726865,DT09,2,26,23.3,4,CONT_HR,D3,RU,24
2358,1,490341,24.6347202,-82.9657861,DT09,2,26,25.5,4,CONT_HR,D3,RU,24
2346,1,308981,24.5802063,-82.8869383,DT09,2,26,25,4,CONT_LR,D3,RU,24
2352,1,286610,24.5724035,-82.8971874,DT09,2,26,27.3,4,CONT_LR,D3,RU,24
2720,1,558758,24.6540094,-83.0090594,DT07,1,24,29.4,3,ISOL_MR,D3,R2,7
2721,1,641251,24.6954026,-83.0191105,DT07,1,24,25.9,3,CONT_LR,D3,R2,7
2722,1,637735,24.6931062,-83.0220379,DT07,1,24,23.4,3,CONT_LR,D3,R2,7
2723,1,639220,24.6945427,-82.9820406,DT07,1,24,29.8,3,CONT_LR,D3,R1,7
2724,1,657329,24.706283,-82.9817323,DT07,1,24,31.5,3,CONT_LR,D3,R2,7
2725,1,641988,24.6960856,-83.0018285,DT07,1,24,22,3,CONT_LR,D3,R2,7
2726,1,551032,24.6524309,-82.9576668,DT07,2,26,29.7,4,CONT_HR,D3,R1,20
2727,1,661559,24.709851,-82.9155727,DT08,2,26,27,4,CONT_HR,D3,R4,22
2728,1,452274,24.6253424,-82.8140341,DT08,2,26,23.9,4,ISOL_HR,D3,R4,22
2374,2,513367,24.6400297,-83.0745186,DT04,0,0,16.4,3,CONT_LR,D2,R2,1
2373,2,395808,24.6053287,-83.0704898,DT04,0,0,19.9,3,CONT_LR,D2,R1,1
2365,2,471650,24.6279607,-83.0659246,DT04,0,0,16.4,3,CONT_LR,D2,R2,1
2363,2,497938,24.6360769,-83.0334647,DT04,0,0,15.3,3,CONT_LR,D2,R1,1
2391,2,436493,24.6172333,-83.09093,DT05,0,0,18.4,3,CONT_LR,D2,R4,2
2381,2,470061,24.6271339,-83.0930699,DT05,0,0,20.4,3,CONT_LR,D2,R3,2
2378,2,483925,24.631264,-83.0882006,DT05,0,0,17,3,CONT_LR,D2,R4,2
2388,2,550740,24.6504829,-83.1018553,DT05,0,0,21.3,3,CONT_MR,D2,R4,2
2389,2,465482,24.6259377,-83.0816928,DT05,0,0,15.3,3,CONT_LR,D2,R4,2
2382,2,445676,24.6203702,-83.0598745,DT05,0,0,14.5,3,CONT_LR,D2,R4,2
2395,2,322163,24.5824555,-83.0597473,DT07,0,0,28.1,3,CONT_LR,D3,R1,3
2401,2,330480,24.5853046,-83.0494275,DT07,0,0,26.4,3,CONT_LR,D3,R1,3
2408,2,374932,24.599308,-83.0486682,DT07,0,0,27.3,3,CONT_LR,D3,R2,3
2403,2,336039,24.5870223,-83.0558729,DT07,0,0,27.4,3,CONT_LR,D3,R2,3
2400,2,385310,24.6020609,-83.0783352,DT07,0,0,23.7,3,CONT_LR,D3,R1,3
2405,2,404753,24.6077428,-83.0917596,DT07,0,0,24.3,3,CONT_LR,D3,R1,3
2396,2,266057,24.563225,-83.0466005,DT07,0,0,26.5,3,CONT_LR,D3,R2,3
2409,2,360183,24.5943414,-83.0816634,DT07,0,0,28.2,3,CONT_LR,D3,R1,3
2415,2,516611,24.6418442,-83.0073831,DT08,0,0,30,3,REEF_HR,D3,R4,4
2416,2,412401,24.6107712,-83.0355239,DT08,0,0,27.7,3,CONT_HR,D3,R4,4
2419,2,474827,24.6295403,-83.0160752,DT08,0,0,29.4,3,REEF_HR,D3,R4,4
2411,2,527501,24.6449769,-83.0094087,DT08,0,0,30.3,3,ISOL_MR,D3,R4,4
2414,2,460850,24.6242954,-83.1024045,DT08,0,0,26.8,3,CONT_MR,D3,R3,4
2417,2,379404,24.6007022,-83.0457287,DT08,0,0,27.2,3,CONT_LR,D3,R4,4
2433,2,566513,24.6556312,-83.0560078,DT04,1,24,15.3,3,CONT_LR,D2,R2,5
2430,2,577266,24.6588644,-83.0506276,DT04,1,24,18.5,3,CONT_LR,D2,R2,5
2420,2,566493,24.6554957,-83.0658839,DT04,1,24,16.4,3,CONT_LR,D2,R2,5
2426,2,599864,24.6686099,-83.0310281,DT04,1,24,18,3,CONT_LR,D2,R2,5
2465,2,634858,24.690865,-83.0541155,DT05,1,24,21.1,3,CONT_LR,D2,R4,6
2456,2,621619,24.6828725,-83.011004,DT05,1,24,19.3,3,ISOL_HR,D2,R4,6
2440,2,549319,24.6510162,-83.0302494,DT05,1,24,20.2,3,ISOL_MR,D2,R4,6
2468,2,546201,24.6502069,-83.0233217,DT05,1,24,16.3,3,CONT_LR,D2,R4,6
2450,2,661395,24.7087943,-82.9965963,DT05,1,24,15.4,3,CONT_LR,D2,R4,6
2435,2,578658,24.6586748,-83.0970533,DT05,1,24,20.8,3,CONT_HR,D2,R4,6
2434,2,581346,24.6596049,-83.0950932,DT05,1,24,21.1,3,CONT_LR,D2,R4,6
2441,2,662095,24.709416,-82.9837585,DT05,1,24,21.5,3,CONT_LR,D2,R4,6
2448,2,601896,24.669465,-83.0675959,DT05,1,24,19.2,3,CONT_LR,D2,R3,6
2436,2,560174,24.6534245,-83.085112,DT05,1,24,16.7,3,CONT_LR,D2,R4,6
2471,2,617306,24.6794339,-83.0647963,DT05,1,24,21.7,3,CONT_LR,D2,R4,6
2452,2,623747,24.6843716,-83.0001592,DT05,1,24,21.8,3,CONT_LR,D2,R3,6
2439,2,650291,24.700854,-83.0498325,DT05,1,24,20.7,3,CONT_MR,D2,R4,6
2445,2,608917,24.6740389,-83.0632254,DT05,1,24,19.2,3,CONT_LR,D2,R4,6
2473,2,617325,24.6795627,-83.0554122,DT05,1,24,21.4,3,CONT_HR,D2,R4,6
2438,2,569615,24.6562758,-83.0747872,DT05,1,24,16.6,3,ISOL_LR,D2,R4,6
