psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2226,1,488846,24.6345706,-82.9425727,DT04,2,26,17.5,4,CONT_LR,D2,R2,14
2227,1,596107,24.6677899,-82.9218455,DT04,2,26,12.2,4,CONT_LR,D2,R2,14
2228,1,673132,24.7190329,-82.7936447,DT04,2,26,13.1,4,SPGR_LR,D2,R2,14
2229,1,658177,24.7077954,-82.8997284,DT04,2,26,16.6,4,SPGR_LR,D2,R2,14
2230,1,527952,24.6477899,-82.7866981,DT04,2,26,17.2,4,CONT_LR,D2,R2,14
2231,1,492193,24.6370716,-82.8146973,DT04,2,26,12.5,4,ISOL_MR,D2,R2,14
2232,1,271298,24.5665611,-82.9306638,DT04,2,26,13.6,4,CONT_LR,D2,R2,14
2233,1,455242,24.625739,-82.8555224,DT04,2,26,16.7,4,SPGR_HR,D2,R2,14
2234,1,604584,24.6744785,-82.7821378,DT04,2,26,13.5,4,CONT_LR,D2,R2,14
2235,1,507606,24.6411333,-82.8517986,DT04,2,26,18.4,4,ISOL_HR,D2,R2,14
2236,1,672355,24.7178178,-82.8563913,DT04,2,26,14.8,4,CONT_LR,D2,R2,14
2237,1,603800,24.673541,-82.8226353,DT04,2,26,12.6,4,ISOL_LR,D2,R2,14
2238,1,300971,24.5772372,-82.9076266,DT04,2,26,13.3,4,CONT_LR,D2,R2,14
2239,1,450569,24.6237989,-82.902407,DT04,2,26,16.2,4,ISOL_MR,D2,R2,14
2240,1,596391,24.6695195,-82.7815733,DT04,2,26,12.8,4,CONT_LR,D2,R2,14
2241,1,363365,24.5970156,-82.949398,DT04,2,26,17.6,4,ISOL_LR,D2,R2,14
2242,1,669860,24.7168351,-82.7886711,DT04,2,26,13.9,4,ISOL_LR,D2,R2,14
2243,1,543566,24.6523621,-82.7818236,DT04,2,26,17.8,4,CONT_LR,D2,R2,14
2244,1,541853,24.6510079,-82.8563897,DT04,2,26,12.6,4,CONT_MR,D2,R2,14
2245,1,637922,24.6943226,-82.9296638,DT04,2,26,16.4,4,CONT_LR,D2,R2,14
2246,1,444354,24.6212389,-82.961131,DT04,2,26,14.2,4,CONT_LR,D2,R2,14
2247,1,527842,24.6471342,-82.8410208,DT04,2,26,13.9,4,ISOL_LR,D2,R2,14
2248,1,519839,24.6435266,-82.948144,DT04,2,26,18,4,CONT_LR,D2,R2,14
2249,1,478243,24.6326004,-82.8482157,DT04,2,26,18.2,4,ISOL_LR,D2,R2,14
2250,1,478124,24.6318665,-82.9069738,DT04,2,26,19.4,4,CONT_MR,D2,R2,14
2251,1,682086,24.7251975,-82.8065833,DT04,2,26,17.4,4,CONT_MR,D2,R2,14
2252,1,393090,24.6062521,-82.9332476,DT04,2,26,15.9,4,ISOL_MR,D2,R2,14
2253,1,606610,24.6753823,-82.8196979,DT04,2,26,14.6,4,CONT_MR,D2,R2,14
2254,1,635866,24.6933093,-82.9029673,DT04,2,26,13.5,4,CONT_LR,D2,R2,14
2255,1,387083,24.6043515,-82.9406245,DT04,2,26,17.5,4,ISOL_MR,D2,R2,14
2256,1,334830,24.5878161,-82.9625845,DT04,2,26,16.8,4,ISOL_MR,D2,R2,14
2257,1,682723,24.7256667,-82.8051074,DT04,2,26,17.7,4,CONT_MR,D2,R2,14
2258,1,436871,24.619712,-82.9043204,DT04,2,26,14.4,4,CONT_MR,D2,R2,14
2259,1,645663,24.6993822,-82.9223301,DT04,2,26,17.4,4,CONT_LR,D2,R2,14
2260,1,402057,24.6088264,-82.943656,DT04,2,26,16.8,4,ISOL_HR,D2,R2,14
2261,1,280063,24.5691768,-82.9726595,DT05,2,0,19.4,4,CONT_MR,D2,R4,15
2262,1,286456,24.5714269,-82.9731883,DT05,2,0,17.2,4,ISOL_LR,D2,R3,15
2263,1,502721,24.6383049,-82.9678177,DT05,2,0,21.5,4,CONT_HR,D2,R4,15
2264,1,299511,24.5758947,-82.9767136,DT05,2,0,15.9,4,ISOL_LR,D2,R4,15
