DRM_ID,Priority,Latitude,Longitude,Status,grid_id_50,mpa_nr,subreg_nr,zone_nr,habclass,lat_deg,lon_deg,psu_depth,psu_vrel,Shape_Leng,Shape_Area,region,prot,depth_clas,rugosity_c,strat
1669,Primary,24.724718,-82.806563,Not surveyed,681456,26,4,4,ISOL_MR,24.724746,-82.806577,17.1,0.2341,220.6652,3043.297247,DRY TORT,2,D2,R2,DT04
2593,Secondary,24.558806,-82.936961,Not surveyed,250279,0,4,4,CONT_LR,24.558806,-82.936961,17.4,-9,220.361469,3034.92509,DRY TORT,2,D2,RU,DT06
2594,Secondary,24.58326,-82.895376,Not surveyed,318392,26,4,4,CONT_LR,24.58326,-82.895376,13.2,0.2075,220.408484,3036.220268,DRY TORT,2,D2,R2,DT04
2595,Secondary,24.586513,-82.88802,Not surveyed,328035,26,4,4,ISOL_LR,24.586513,-82.88802,10.8,0.1858,220.414729,3036.392341,DRY TORT,2,D1,R2,DT01
2596,Secondary,24.589591,-82.894484,Not surveyed,337766,26,4,4,SPGR_LR,24.589591,-82.894484,11,0.2225,220.419576,3036.525882,DRY TORT,2,D1,R2,DT01
2597,Secondary,24.593024,-82.943906,Not surveyed,350362,26,4,4,CONT_MR,24.593024,-82.943906,16.7,0.1854,220.420187,3036.542717,DRY TORT,2,D2,R2,DT04
2598,Secondary,24.595649,-82.950364,Not surveyed,358993,26,4,4,ISOL_LR,24.595649,-82.950364,17.3,0.2076,220.424337,3036.657064,DRY TORT,2,D2,R2,DT04
2599,Secondary,24.608112,-82.960397,Not surveyed,400525,26,4,4,ISOL_HR,24.608157,-82.960433,15.2,0.2212,220.44479,3037.220654,DRY TORT,2,D2,R2,DT04
2600,Secondary,24.608813,-82.873542,Not surveyed,399203,26,4,4,SPGR_HR,24.608813,-82.873542,5.5,0.3519,220.455151,3037.506137,DRY TORT,2,D1,R3,DT02
2601,Secondary,24.610689,-82.937776,Not surveyed,408077,26,4,4,ISOL_HR,24.610708,-82.93776,12.4,0.2334,220.451781,3037.413278,DRY TORT,2,D2,R2,DT04
2602,Secondary,24.614482,-82.958087,Not surveyed,421630,26,4,4,ISOL_HR,24.614508,-82.958063,13.2,0.2537,220.456349,3037.539161,DRY TORT,2,D2,R2,DT04
2603,Secondary,24.615436,-82.956103,Not surveyed,424662,26,4,4,CONT_LR,24.615436,-82.956103,11.6,0.2793,220.458107,3037.587597,DRY TORT,2,D1,R3,DT02
2604,Secondary,24.61674,-82.889461,Not surveyed,426307,26,4,4,ISOL_MR,24.61674,-82.889461,6.2,-9,220.467516,3037.846902,DRY TORT,2,D1,RU,DT03
2605,Secondary,24.617299,-82.951688,Not surveyed,430715,26,4,4,ISOL_MR,24.617299,-82.951688,5.2,0.3167,220.461908,3037.692366,DRY TORT,2,D1,R3,DT02
2606,Secondary,24.6179,-82.904787,Not surveyed,430810,26,4,4,CONT_MR,24.6179,-82.904787,12.5,0.4458,220.467856,3037.856255,DRY TORT,2,D2,R4,DT05
2607,Secondary,24.62098,-82.946313,Not surveyed,442862,26,4,4,CONT_LR,24.62098,-82.946313,4.3,0.2204,220.468693,3037.879327,DRY TORT,2,D1,R2,DT01
2608,Secondary,24.624272,-82.827846,Not surveyed,449194,26,4,4,CONT_LR,24.624272,-82.827846,7.9,0.378,220.487091,3038.386364,DRY TORT,2,D1,R3,DT02
2609,Secondary,24.624495,-82.953775,Not surveyed,455043,26,4,4,SPGR_LR,24.624495,-82.953775,9.6,0.2661,220.474268,3038.032993,DRY TORT,2,D1,R3,DT02
